일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2025-02-24,-92519693045,192900573056,-203979010555,103598130544
2025-02-25,-94426591128,312081322979,-318971095564,101316363713
2025-02-26,240366228107,-20123644445,-322758328153,102515744491
2025-02-27,-338877670836,480963608159,-175355512233,33269574910
2025-02-28,-616687106773,2032382656492,-1552444913994,136749364275
2025-03-04,-147320808920,204382469527,-189645808872,132584148265
2025-03-05,47855667126,91066500284,-223347606939,84425439529
2025-03-06,156144652402,-369304105752,138207974010,74951479340
2025-03-07,27856131122,-194120499877,59605484234,106658884521
2025-03-10,142750024810,209667744371,-424196449310,71778680129
2025-03-11,-238060527473,492939309810,-1537257307360,1282378525023
2025-03-12,31867264214,-504958414021,378982087826,94109061981
2025-03-13,444773544214,-73727742866,-480416738535,109370937187
2025-03-14,-20501352189,207853019949,-289400129540,102048461780
2025-03-17,494744914949,-1180353839193,615221716565,70387207679
2025-03-18,95013526205,-612601232385,440755734243,76831971937
2025-03-19,287328491126,-674359406045,302647861883,84383053036
2025-03-20,66431924499,-701303580484,548668324870,86203331115
2025-03-21,-401954932372,-537856613617,847766724707,92044821282
2025-03-24,-28815092997,-78072551149,7650077994,99237566152
2025-03-25,69077231040,-64208792928,-78712523646,73844085534
2025-03-26,260278092505,-679767099398,350382266536,69106740357
2025-03-27,-315162549116,119583160856,87710525091,107868863169
2025-03-28,3124159748,540832139068,-640312444210,96356145394
2025-03-31,667341521839,789060533771,-1575449626349,119047570739
2025-04-01,180611969545,86643959926,-390131836623,122875907152
2025-04-02,147993900540,479139129768,-724163135384,97030105076
2025-04-03,461007107795,801357568034,-1375238308994,112873633165
2025-04-04,621083532821,1077003876813,-1786867965800,88780556166
2025-04-07,257110500943,1672137875705,-2095740628323,166492251675
2025-04-08,-89842804874,602936971302,-642484237175,129390070747
2025-04-09,-69828647099,938876183274,-1000654553663,131607017488
2025-04-10,668231509086,-1069273712266,328744438726,72297764454
2025-04-11,137846685916,433927493486,-688820910856,117046731454
2025-04-14,-6669629343,193924281753,-241984461732,54729809322
2025-04-15,183126814301,-146752801669,-117717431287,81343418655
2025-04-16,-15311474732,383464238589,-457723440706,89570676849
2025-04-17,368859206372,-110217398766,-351893104994,93251297388
2025-04-18,81561573648,-22341226592,-105169139086,45948792030
2025-04-21,23361905583,186369417575,-288632483128,78901159970
2025-04-22,10662675005,166715363052,-242999390956,65621352899
2025-04-23,686622730594,-548474619474,-197746450834,59598339714
2025-04-24,-198709373069,135076872106,-7708410105,71340911068
2025-04-25,507219548646,-774123444810,612554881277,-345650985113
2025-04-28,91552023475,-49615248271,-85414384607,43477609403
2025-04-29,-580412351813,-159096949862,692533312776,46975988899
2025-04-30,-221015660439,305528164765,-168787890017,84275385691
2025-05-02,322822327954,-234941754547,-170207281085,82326707678
2025-05-07,86944158905,-464596166854,348749980035,28902027914
2025-05-08,-189768748055,-1272039154,130292671655,60748115554
2025-05-09,-187285680725,63193736999,67531039412,56560904314
2025-05-12,342908323654,-390677339862,-7136093983,54905110191
2025-05-13,-89286152649,-135989591209,171437557383,53838186475
2025-05-14,534775999876,-1002421637348,470380155005,-2734517533
2025-05-15,-368057587851,45998914240,272308945480,49749728131
2025-05-16,113357862684,-282294932328,169421760258,-484690614
2025-05-19,-194768285181,298602351170,-113359013566,9524947577
2025-05-20,61003199298,20553770476,-114478880653,32921910879
2025-05-21,104568454511,-331546163923,192024458137,34953251275
2025-05-22,-431916913475,684835074401,-223713281254,-29204879672
2025-05-23,-102642931357,134726625712,-58496023319,26412328964
2025-05-26,432290131169,-515793878896,101519555015,-18015807288
2025-05-27,-20103128153,53674718853,-78150189064,44578598364
2025-05-28,743757365323,-990695885958,299869574185,-52931053550
2025-05-29,684162754643,-996293425563,289704312663,22426358257
2025-05-30,-15985412248,605082973403,-607042486859,17944925704
2025-06-02,-241471165549,98174472629,125015860996,18280831924
2025-06-04,204638343689,-1225950250573,1050710507613,-29398600729
2025-06-05,220668701678,-1189190568565,980059256787,-11537389900
2025-06-09,-733175769677,-230060856896,976675894648,-13439268075
2025-06-10,14187118504,-626911817020,632296769925,-19572071409
2025-06-11,230383318505,-366279677043,166084516892,-30188158354
2025-06-12,-230429635470,-179372349893,407286098349,2515887014
2025-06-13,-646063384807,467376637111,121031913221,57654834475
2025-06-16,252399853157,46336398678,-322400630611,23664378776
2025-06-17,-100625902406,224516760159,-95257934062,-28632923691
2025-06-18,110118710491,-431823111183,287048512142,34655888550
2025-06-19,-301775558158,349996172424,-82587787419,34367173153
2025-06-20,37228244464,-596587665389,562551825000,-3192404075
2025-06-23,-948506269171,1379737330900,-366757662037,-64473399692
2025-06-24,259382348233,-567559328482,438255800267,-130078820018
2025-06-25,-588335023653,757991128985,-110771654554,-58884450778
2025-06-26,-408021845323,832543762503,-579413155371,154891238191
2025-06-27,343356203643,486804505568,-857960562916,27799853705
2025-06-30,475723585607,189201924744,-648948994942,-15976515409
2025-07-01,474495645350,-640517494119,175990491491,-9968642722
2025-07-02,72030633422,232887314089,-327772625933,22854678422
2025-07-03,548390638149,-1232988586443,642679905950,41918042344
2025-07-04,-382244217520,257471765773,162380501500,-37608049753
2025-07-07,-81051538440,155829824927,-93659936327,18881649840
2025-07-08,-32643905578,-254918918473,246138541485,41424282566
2025-07-09,-57076587509,430965199985,-410524785931,36636173455
2025-07-10,44673595933,-586852576435,469370078590,72808901912
2025-07-11,-74288684251,124981960702,325933147798,-376626424249
2025-07-14,-94654288927,-356839722153,370654086922,80839924158
2025-07-15,-16706567128,-310246142835,212333725568,114618984395
2025-07-16,-552521477568,401643624426,55486246323,95391606819
2025-07-17,158285735249,-335552703118,49334506563,127932461306
2025-07-18,32046643462,-341074144655,187843739271,121183761922
2025-07-21,99433590864,-1057841096072,893526859257,64880645951
2025-07-22,-412749950778,478049258195,-128779674000,63480366583
2025-07-23,191741847080,-698161202640,422800798785,83618556775
2025-07-24,127317870685,-951263341691,738622325283,85323145723
2025-07-25,110011400619,-461583546988,270579295376,80992850993
2025-07-28,452025095461,-997518346048,475280012830,70213237757
2025-07-29,116667598449,-825891434822,605394948392,103828887981
2025-07-30,330708145089,-984432056175,578346734768,75377176318
2025-07-31,-705251647747,223517816286,344963126100,136770705361
2025-08-01,-1071973959139,1628294453278,-652419629727,96099135588
2025-08-04,131617717591,-299575204687,82952364051,85005123045
2025-08-05,94670099779,-478457590780,291894192196,91893298805
2025-08-06,-402029246448,47394406643,280383444511,74251395294
2025-08-07,109241961820,-204829354872,-17128043288,112715436340
2025-08-08,-131813631998,183521736525,-157623253174,105915148647
2025-08-11,-216007804596,-140726036469,216860026427,139873814638
2025-08-12,-98063778575,63445355515,-60396471352,95014894412
2025-08-13,-80912489856,-664773774786,634925268055,110760996587
2025-08-14,19668852655,-53374019376,-77938222425,111643389146
2025-08-18,81264715972,356968505072,-488095860361,49862639317
2025-08-19,253889827734,90396487472,-454392242213,110105927007
2025-08-20,502399149040,-392911883978,-218460960217,108973695155
2025-08-21,159825369627,-259127569716,-15219371162,114521571251
2025-08-22,155607020292,-457174919453,182565204518,119002694643
2025-08-25,154344027863,-385715710412,122446679010,108925003539
2025-08-26,-265713038035,851938193741,-683641514506,97416358800
2025-08-27,27685143548,56898386694,-202259157432,117675627190
2025-08-28,326383974869,-393854896770,-24102294620,91573216521
2025-08-29,64789068871,235313020436,-372371707807,72269618500
2025-09-01,-194015528758,346926276127,-271992008594,119081261225
2025-09-02,-141647061950,-347355381159,400989246912,88013196197
2025-09-03,-375605702502,-156343707045,435947639055,96001770492
2025-09-04,-23218341817,-284749283667,202512960236,105454665248
2025-09-05,112418902273,-55219557960,-137436167338,80236823025
2025-09-08,77834051975,-384846287743,230068865375,76943370393
2025-09-09,280615000953,-1037072124917,680808624516,75648499448
2025-09-10,904642820662,-2263412257864,1381737748521,-22968311319
2025-09-11,822538944315,-1149255055498,299994315282,26721795901
2025-09-12,611858092630,-2028716674860,1435493080357,-18634498127
2025-09-15,-137631875449,-137373876674,266720651667,8285100456
2025-09-16,108292237478,-1763694208025,1792728813127,-137326842580
2025-09-17,-307531277786,252158813817,-34737445934,90109909903
2025-09-18,429405364402,-781575710433,285113783983,67056562048
