# 국제 금 **현물** 시세 (USD/트로이온스, 일별) · XAU/USD
#   창구 — investing.com API(instrumentId 68). scripts/gold_spot.py 가 만든다.
#   ⚠ 직접 HTTP 는 403 이라 **Aside 브라우저**로만 받는다. cron 에서 못 돈다.
#   ⚠ **1985년 이전은 종가만 믿는다** — 시·고·저가 종가 복사다.
#      실측 flat 비율: 1980~84 100% · 1985~89 29% · 1990~94 3% · 1995~ 2%.
#      이 파일 전체 flat 비율 14.5%.
#   ⚠ 월별(금가격_월별_1833)은 현물, 일별(금가격_일별)은 COMEX 선물이다.
#      선물은 콘탱고로 현물보다 중앙 +0.5% 높다. 셋을 섞어 쓰지 않는다.
date,open,high,low,close
1986-12-24,389.65,387.87,387.87,387.87
1986-12-29,391.29,387.33,387.33,387.33
1986-12-30,388.42,387.87,387.87,387.87
1986-12-31,390.19,390.19,390.19,390.19
1987-01-02,406.90,403.10,403.10,403.10
1987-01-05,403.10,399.08,399.08,399.08
1987-01-06,403.10,400.71,400.71,400.71
1987-01-07,401.26,399.84,399.84,399.84
1987-01-08,403.86,401.47,401.47,401.47
1987-01-09,405.17,403.97,403.97,403.97
1987-01-12,411.36,410.60,410.60,410.60
1987-01-13,410.27,409.18,409.18,409.18
1987-01-14,418.85,417.44,417.44,417.44
1987-01-15,416.68,414.61,414.61,414.61
1987-01-16,416.79,415.37,415.37,415.37
1987-01-19,423.41,421.46,421.46,421.46
1987-01-20,419.61,414.18,414.18,414.18
1987-01-21,408.97,406.58,406.58,406.58
1987-01-22,411.36,408.75,408.75,408.75
1987-01-23,407.66,402.78,402.78,402.78
1987-01-26,407.34,407.34,407.34,407.34
1987-01-27,411.68,411.14,411.14,411.14
1987-01-28,417.55,406.90,406.90,406.90
1987-01-29,410.81,409.18,409.18,409.18
1987-01-30,411.68,403.43,403.43,403.43
1987-02-02,407.34,406.36,406.36,406.36
1987-02-03,403.86,399.84,399.84,399.84
1987-02-04,405.17,402.78,402.78,402.78
1987-02-05,402.78,399.08,399.08,399.08
1987-02-06,404.73,403.10,403.10,403.10
1987-02-09,406.36,405.71,405.71,405.71
1987-02-10,404.73,402.56,402.56,402.56
1987-02-11,403.32,400.50,400.50,400.50
1987-02-12,402.78,400.39,400.39,400.39
1987-02-13,397.45,396.91,396.91,396.91
1987-02-16,397.78,396.91,396.91,396.91
1987-02-17,397.24,394.09,394.09,394.09
1987-02-18,393.44,391.05,391.05,391.05
1987-02-19,395.28,393.55,393.55,393.55
1987-02-20,399.84,399.30,399.30,399.30
1987-02-23,405.71,403.43,403.43,403.43
1987-02-24,402.56,401.47,401.47,401.47
1987-02-25,407.88,405.71,405.71,405.71
1987-02-26,404.95,403.86,403.86,403.86
1987-02-27,407.12,405.27,405.27,405.27
1987-03-02,405.71,404.19,404.19,404.19
1987-03-03,404.62,404.40,404.40,404.40
1987-03-04,407.88,406.03,406.03,406.03
1987-03-05,411.90,410.38,410.38,410.38
1987-03-06,407.88,405.82,405.82,405.82
1987-03-09,405.71,403.97,403.97,403.97
1987-03-10,405.82,405.71,405.71,405.71
1987-03-11,407.66,406.58,406.58,406.58
1987-03-12,409.83,408.21,408.21,408.21
1987-03-13,409.29,404.40,404.40,404.40
1987-03-16,405.49,405.17,405.17,405.17
1987-03-17,406.58,402.56,402.56,402.56
1987-03-18,406.79,404.73,404.73,404.73
1987-03-19,404.95,403.43,403.43,403.43
1987-03-20,405.49,403.97,403.97,403.97
1987-03-23,409.29,407.88,407.88,407.88
1987-03-24,412.99,412.99,412.99,412.99
1987-03-25,415.37,411.90,411.90,411.90
1987-03-26,412.66,411.03,411.03,411.03
1987-03-27,419.94,419.94,419.94,419.94
1987-03-30,427.65,420.69,420.69,420.69
1987-03-31,422.32,417.76,417.76,417.76
1987-04-01,419.72,417.00,417.00,417.00
1987-04-02,421.56,417.55,417.55,417.55
1987-04-03,419.61,419.18,419.18,419.18
1987-04-06,422.11,418.63,418.63,418.63
1987-04-07,422.32,422.00,422.00,422.00
1987-04-08,423.08,419.61,419.61,419.61
1987-04-09,431.99,431.99,431.99,431.99
1987-04-10,434.92,432.21,432.21,432.21
1987-04-13,438.29,437.85,437.85,437.85
1987-04-14,450.34,450.34,450.34,450.34
1987-04-15,450.89,441.76,441.76,441.76
1987-04-16,442.85,442.85,442.85,442.85
1987-04-20,452.52,452.52,452.52,452.52
1987-04-21,459.14,447.19,447.19,447.19
1987-04-22,450.34,449.80,449.80,449.80
1987-04-23,459.68,459.68,459.68,459.68
1987-04-24,466.85,461.86,461.86,461.86
1987-04-27,477.60,443.72,443.72,443.72
1987-04-28,457.08,451.65,451.65,451.65
1987-04-29,452.52,451.65,451.65,451.65
1987-04-30,455.45,453.60,453.60,453.60
1987-05-01,456.53,456.53,456.53,456.53
1987-05-04,460.01,460.01,460.01,460.01
1987-05-05,465.76,458.05,458.05,458.05
1987-05-06,459.36,458.16,458.16,458.16
1987-05-07,459.38,457.41,457.41,457.41
1987-05-08,458.00,454.57,454.57,454.57
1987-05-11,456.09,455.69,455.69,455.69
1987-05-12,462.22,458.79,458.79,458.79
1987-05-13,461.49,458.06,458.06,458.06
1987-05-14,465.12,463.67,463.67,463.67
1987-05-15,470.99,467.49,467.49,467.49
1987-05-18,478.70,473.69,473.69,473.69
1987-05-19,472.96,469.80,469.80,469.80
1987-05-20,482.98,474.94,474.94,474.94
1987-05-21,473.95,469.47,469.47,469.47
1987-05-22,474.94,464.00,464.00,464.00
1987-05-25,466.96,465.45,465.45,465.45
1987-05-26,464.99,451.08,451.08,451.08
1987-05-27,452.79,448.97,448.97,448.97
1987-05-28,454.24,451.67,451.67,451.67
1987-05-29,452.26,451.27,451.27,451.27
1987-06-01,450.48,446.66,446.66,446.66
1987-06-02,457.47,455.89,455.89,455.89
1987-06-03,457.54,451.47,451.47,451.47
1987-06-04,456.94,452.59,452.59,452.59
1987-06-05,455.96,453.58,453.58,453.58
1987-06-08,458.00,455.96,455.96,455.96
1987-06-09,454.97,452.73,452.73,452.73
1987-06-10,459.45,457.41,457.41,457.41
1987-06-11,458.99,458.00,458.00,458.00
1987-06-12,463.14,454.37,454.37,454.37
1987-06-15,453.19,451.14,451.14,451.14
1987-06-16,453.78,451.74,451.74,451.74
1987-06-17,452.99,446.79,446.79,446.79
1987-06-18,452.73,450.22,450.22,450.22
1987-06-19,453.58,449.50,449.50,449.50
1987-06-22,445.14,437.04,437.04,437.04
1987-06-23,441.45,440.46,440.46,440.46
1987-06-24,444.55,443.56,443.56,443.56
1987-06-25,443.96,440.66,440.66,440.66
1987-06-26,445.01,443.69,443.69,443.69
1987-06-29,449.96,445.94,445.94,445.94
1987-06-30,448.97,448.64,448.64,448.64
1987-07-01,450.48,446.86,446.86,446.86
1987-07-02,449.10,445.74,445.74,445.74
1987-07-03,446.86,443.69,443.69,443.69
1987-07-06,444.75,443.50,443.50,443.50
1987-07-07,447.52,442.25,442.25,442.25
1987-07-08,447.45,444.75,444.75,444.75
1987-07-09,446.46,445.28,445.28,445.28
1987-07-10,446.73,444.16,444.16,444.16
1987-07-13,447.45,446.46,446.46,446.46
1987-07-14,448.97,447.39,447.39,447.39
1987-07-15,453.98,452.92,452.92,452.92
1987-07-16,454.24,452.99,452.99,452.99
1987-07-17,453.45,450.15,450.15,450.15
1987-07-20,452.00,451.47,451.47,451.47
1987-07-21,453.38,453.06,453.06,453.06
1987-07-22,455.49,454.57,454.57,454.57
1987-07-23,456.09,454.83,454.83,454.83
1987-07-24,454.97,453.71,453.71,453.71
1987-07-27,454.64,453.45,453.45,453.45
