일자,티커,이름,거래소,시가,고가,저가,종가,거래량
20240510,AVGO,브로드컴,NAS,1315.31,1344.0,1315.31,1332.8,1629953.0
20240510,MU,마이크론,NAS,120.04,121.85,119.18,121.24,13922427.0
20240510,NVDA,엔비디아,NAS,903.045,914.01,892.27,898.78,33532541.0
20240510,QQQ,나스닥100,NAS,442.54,444.31,440.499,442.06,27116566.0
20240510,SMH,반도체ETF2,NAS,222.96,225.44,222.43,223.3,6126631.0
20240510,SOXX,반도체ETF,NAS,220.49,222.42,219.27,220.24,3079201.0
20240510,TSM,TSMC ADR,NYS,147.22,150.495,146.93,149.26,23671378.0
20240513,AVGO,브로드컴,NAS,1348.0,1358.39,1330.11,1337.51,1850703.0
20240513,MU,마이크론,NAS,122.93,124.11,121.65,123.0,16643246.0
20240513,NVDA,엔비디아,NAS,904.78,909.98,885.29,903.99,28968017.0
20240513,QQQ,나스닥100,NAS,443.99,444.09,441.65,443.08,22994192.0
20240513,SMH,반도체ETF2,NAS,224.0,224.545,222.32,223.26,3972377.0
20240513,SOXX,반도체ETF,NAS,221.2,222.08,220.33,220.7,1843208.0
20240513,TSM,TSMC ADR,NYS,148.02,148.44,146.3,146.41,8278732.0
20240514,AVGO,브로드컴,NAS,1332.34,1381.99,1325.8,1380.03,1942029.0
20240514,MU,마이크론,NAS,122.99,125.04,121.673,124.81,13887747.0
20240514,NVDA,엔비디아,NAS,895.99,916.51,889.34,913.56,29650708.0
20240514,QQQ,나스닥100,NAS,442.65,446.465,442.46,445.93,34478321.0
20240514,SMH,반도체ETF2,NAS,222.94,227.325,222.24,227.08,5050504.0
20240514,SOXX,반도체ETF,NAS,220.53,224.56,220.32,224.37,2149424.0
20240514,TSM,TSMC ADR,NYS,146.49,152.01,146.25,151.95,12316540.0
20240515,AVGO,브로드컴,NAS,1380.0,1438.95,1369.975,1436.17,3275738.0
20240515,MU,마이크론,NAS,126.23,127.95,125.442,127.81,14265109.0
20240515,NVDA,엔비디아,NAS,924.72,948.62,915.99,946.3,41773545.0
20240515,QQQ,나스닥100,NAS,448.43,453.15,446.9,452.9,41464651.0
20240515,SMH,반도체ETF2,NAS,229.27,234.0,228.53,233.9,8212767.0
20240515,SOXX,반도체ETF,NAS,226.75,230.82,225.5,230.67,3106213.0
20240515,TSM,TSMC ADR,NYS,153.36,156.0,152.73,155.58,14027093.0
20240516,AVGO,브로드컴,NAS,1426.0,1445.4,1405.06,1412.13,2839503.0
20240516,MU,마이크론,NAS,127.93,130.13,127.05,127.89,15874694.0
20240516,NVDA,엔비디아,NAS,949.1,958.1899,941.03,943.59,32395182.0
20240516,QQQ,나스닥100,NAS,452.71,454.69,451.81,451.98,34780412.0
20240516,SMH,반도체ETF2,NAS,233.85,235.11,232.09,232.2,6209568.0
20240516,SOXX,반도체ETF,NAS,230.62,232.44,229.46,229.54,2878408.0
20240516,TSM,TSMC ADR,NYS,154.1,155.055,152.21,152.23,13394140.0
20240517,AVGO,브로드컴,NAS,1412.42,1419.53,1381.78,1395.29,1817367.0
20240517,MU,마이크론,NAS,128.36,129.03,124.86,125.29,13774737.0
20240517,NVDA,엔비디아,NAS,943.69,947.4,918.06,924.79,35969103.0
20240517,QQQ,나스닥100,NAS,452.11,452.72,449.5399,451.76,35803719.0
